pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
351.48765,-179.691875,90.0,top,C1,,,CP_Radial_D5.0mm_P2.50mm,10µF,tht
411.17765,-168.261875,90.0,top,C2,,,C_Disc_D3.8mm_W2.6mm_P2.50mm,100nF,tht
426.41765,-160.641875,-90.0,top,C3,,,C_Disc_D3.8mm_W2.6mm_P2.50mm,100nF,tht
393.39765,-160.641875,0.0,top,D1,,,LED_D5.0mm,+5V,tht
385.77765,-160.641875,0.0,top,D2,,,LED_D5.0mm,+12V,tht
475.49265,-169.5702,180.0,top,J1,,,L717SDB25P1ACH3R,To 5324,tht
475.49265,-176.9002,-90.0,top,J2,,,PinHeader_2x14_P2.54mm_Vertical,To DB25,tht
227.80765,-172.039375,90.0,top,J3,,,USB_B_Lumberg_2411_02_Horizontal,USB_B,tht
407.36765,-164.451875,180.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R,tht
407.36765,-160.641875,180.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R,tht
390.85765,-183.501875,180.0,top,RN1,,,R_Array_SIP9,4.7KΩ,tht
101.29765,-195.5802,0.0,top,SW1,,,SW_Cherry_MX_PCB,CMD,tht
82.24765,-195.5802,0.0,top,SW10,,,SW_Cherry_MX_PCB,ERASE,tht
158.44765,-195.5802,0.0,top,SW11,,,SW_Cherry_MX_PCB,| 1,tht
196.54765,-195.5802,0.0,top,SW12,,,SW_Cherry_MX_PCB,# 3,tht
234.64765,-195.5802,0.0,top,SW13,,,SW_Cherry_MX_PCB,% 5,tht
272.74765,-195.5802,0.0,top,SW14,,,SW_Cherry_MX_PCB,& 7,tht
310.84765,-195.5802,0.0,top,SW15,,,SW_Cherry_MX_PCB,( 9,tht
348.94765,-195.5802,0.0,top,SW16,,,SW_Cherry_MX_PCB,_ -,tht
394.19795,-195.5802,0.0,top,SW17,,,SW_Cherry_MX_PCB,RH <-,tht
439.43515,-214.6302,0.0,top,SW18,,,SW_Cherry_MX_PCB,NP 8,tht
468.01825,-195.5802,0.0,top,SW19,,,SW_Cherry_MX_PCB_1.75u,/ -,tht
139.39765,-195.5802,0.0,top,SW2,,,SW_Cherry_MX_PCB,~ `,tht
101.29765,-214.6302,0.0,top,SW20,,,SW_Cherry_MX_PCB,HOLD,tht
144.16145,-214.6306,0.0,top,SW21,,,SW_Cherry_MX_PCB_1.50u,FIELD ADV,tht
187.02265,-214.6302,0.0,top,SW22,,,SW_Cherry_MX_PCB,W,tht
225.12265,-214.6302,0.0,top,SW23,,,SW_Cherry_MX_PCB,R,tht
